"Fine
Aggregate","Coarse
Aggregate","Fly ash","Silica
Fume","Cement","Slag","Water","Superplasticizer","Age","Compressive 
Strength"
"891.00","839.00","305.00","7.85","143.00","7.94","152.00","6.45","3","11.7"
"891.00","839.00","305.00","7.85","143.00","7.94","152.00","6.45","7","17.2"
"891.00","839.00","305.00","7.85","143.00","7.94","152.00","6.45","28","29.1"
"891.00","839.00","305.00","7.85","143.00","7.94","152.00","6.45","56","34.2"
"891.00","839.00","305.00","7.85","143.00","7.94","152.00","6.45","90","37.1"
"891.00","839.00","305.00","5.72","109.00","6.02","166.00","3.84","3","5.5"
"891.00","839.00","305.00","5.72","109.00","6.02","166.00","3.84","7","8.4"
"891.00","839.00","305.00","5.72","109.00","6.02","166.00","3.84","28","11.9"
"891.00","839.00","305.00","5.72","109.00","6.02","166.00","3.84","56","18.2"
"891.00","839.00","305.00","5.72","109.00","6.02","166.00","3.84","90","23.4"
"883","951","0","0","348","0","209","0","28","55.7"
"883","951","0","0","348","0","209","0","90","57.5"
"883","952","0","0","175","175","210","0","28","51.33"
"883","952","0","0","175","175","210","0","90","55.3"
"872","940","176","0","176","0","211","0","28","34.2"
"872","940","176","0","176","0","211","0","90","43.3"
"881","951","88","0","176","88","211","0","28","42.9"
"881","951","88","0","176","88","211","0","90","51.2"
"877","946","0","0","450","0","167","4.4","28","86.1"
"877","946","0","0","450","0","167","4.4","90","92.2"
"876","945","0","0","222","222","168","4.5","28","89.9"
"876","945","0","0","222","222","168","4.5","90","91.5"
"855","921","221","0","221","0","167","3.4","28","72.8"
"855","921","221","0","221","0","167","3.4","90","78.2"
"865","933","111","0","222","111","168","4.7","28","83.1"
"865","933","111","0","222","111","168","4.7","90","86.6"
"568.7","1164.42","0","0","390","0","185","0","28","24"
"568.7","1164.42","0","0","390","0","185","0","91","28"
"568.7","1164.42","0","19.5","370.5","0","185","0","28","33"
"568.7","1164.42","0","19.5","370.5","0","185","0","91","35"
"568.7","1164.42","0","39","351","0","185","0","28","34"
"568.7","1164.42","0","39","351","0","185","0","91","37"
"596","1136","0","0","584","0","187","11.7","90","52.67"
"596","1136","146","0","438","0","187","11.7","90","53.67"
"596","1194","146","0","438","0","187","11.7","90","25.86"
"568.7","1164.12","0","0","390","0","185","0","28","24"
"568.7","1164.12","39","0","351","0","185","0","28","23"
"568.7","1164.12","78","0","312","0","185","0","28","22"
"568.7","1164.12","117","0","273","0","185","0","28","21"
"830","1000","0","0","328","0","177","0","28","33.5"
"810","975","112","0","261","0","180","0","28","41"
"815","980","112","0","261","0","172","0","28","40.5"
"820","980","112","0","261","0","163","0","28","46.5"
"800","970","0","0","362","0","175","0","28","48.5"
"780","940","123","0","288","0","169","0","28","46"
"785","945","123","0","288","0","172","0","28","44"
"790","950","123","0","288","0","172","0","28","52"
"600","970","0","0","611","0","146","12.2","28","79.5"
"555","895","208","0","486","0","162","13.9","28","84"
"565","905","208","0","486","0","153","13.9","28","72.5"
"570","915","208","0","486","0","142","13.9","28","71"
"740","1185","0","0","355","0","145.5","5.11","28","74"
"661","1185","132","0","308","0","141","4.77","28","70"
"665","1185","176","0","264","0","136.5","4.75","28","65"
"594","1185","0","0","517","0","150","6.77","28","96"
"570","1185","155","0","362","0","150","4.8","28","92"
"561","1185","207","0","311","0","150","4.24","28","89"
"655","1165","0","0","372","0","186","0","3","26"
"655","1165","0","0","372","0","186","0","7","31.6"
"655","1165","0","0","372","0","186","0","28","39.3"
"655","1165","0","0","372","0","186","0","180","49.3"
"655","1165","0","0","280","92","186","0","3","19.5"
"655","1165","0","0","280","92","186","0","7","27.1"
"655","1165","0","0","280","92","186","0","28","41.1"
"655","1165","0","0","280","92","186","0","180","51.1"
"655","1165","0","0","186","186","186","0","3","11.3"
"655","1165","0","0","186","186","186","0","7","20.7"
"655","1165","0","0","186","186","186","0","28","35.3"
"655","1165","0","0","186","186","186","0","180","46.1"
"655","1165","92","0","280","0","186","0","3","17.9"
"655","1165","92","0","280","0","186","0","7","22.7"
"655","1165","92","0","280","0","186","0","28","31.5"
"655","1165","92","0","280","0","186","0","180","44.3"
"681","1209","216","0","156","0","130","3.6","3","14.7"
"681","1209","216","0","156","0","130","3.6","7","20"
"681","1209","216","0","156","0","130","3.6","28","32.1"
"681","1209","216","0","156","0","130","3.6","180","44.3"
"655","1165","0","37.2","335","0","186","0","3","28.9"
"655","1165","0","37.2","335","0","186","0","7","37.8"
"655","1165","0","37.2","335","0","186","0","28","48.4"
"655","1165","0","37.2","335","0","186","0","180","48.9"
"777","988","0","0","280","0","202","0","3","14.6"
"777","988","0","0","280","0","202","0","7","20.9"
"777","988","0","0","280","0","202","0","28","25"
"777","988","0","0","280","0","202","0","56","27.6"
"777","988","0","0","280","0","202","0","91","29"
"777","988","0","0","280","0","202","0","365","36.5"
"788","1003","56","0","224","0","185","0.5","3","12.9"
"788","1003","56","0","224","0","185","0.5","7","18.9"
"788","1003","56","0","224","0","185","0.5","28","25.4"
"788","1003","56","0","224","0","185","0.5","56","28.5"
"788","1003","56","0","224","0","185","0.5","91","32.1"
"788","1003","56","0","224","0","185","0.5","365","43.2"
"802","1041","112","0","168","0","157","2.1","3","10.4"
"802","1041","112","0","168","0","157","2.1","7","16.8"
"802","1041","112","0","168","0","157","2.1","28","25.6"
"802","1041","112","0","168","0","157","2.1","56","30"
"802","1041","112","0","168","0","157","2.1","91","35.2"
"802","1041","112","0","168","0","157","2.1","365","39.4"
"801","1106","168","0","112","0","124","3.9","3","9.7"
"801","1106","168","0","112","0","124","3.9","7","14.5"
"801","1106","168","0","112","0","124","3.9","28","23.5"
"801","1106","168","0","112","0","124","3.9","56","25.6"
"801","1106","168","0","112","0","124","3.9","91","30.6"
"801","1106","168","0","112","0","124","3.9","365","41.2"
"737","977","0","0","340","0","203","0.4","3","20.4"
"737","977","0","0","340","0","203","0.4","7","27.2"
"737","977","0","0","340","0","203","0.4","28","34.5"
"737","977","0","0","340","0","203","0.4","56","37.2"
"737","977","0","0","340","0","203","0.4","91","40.3"
"737","977","0","0","340","0","203","0.4","365","44.6"
"743","985","68","0","272","0","188","0.8","3","17.6"
"743","985","68","0","272","0","188","0.8","7","23.9"
"743","985","68","0","272","0","188","0.8","28","36.5"
"743","985","68","0","272","0","188","0.8","56","40.8"
"743","985","68","0","272","0","188","0.8","91","45.8"
"743","985","68","0","272","0","188","0.8","365","54.7"
"752","1017","136","0","204","0","163","1.7","3","17.8"
"752","1017","136","0","204","0","163","1.7","7","24.7"
"752","1017","136","0","204","0","163","1.7","28","40.3"
"752","1017","136","0","204","0","163","1.7","56","42.5"
"752","1017","136","0","204","0","163","1.7","91","51.3"
"752","1017","136","0","204","0","163","1.7","365","62.4"
"756","1089","204","0","136","0","124","3.3","3","13.3"
"756","1089","204","0","136","0","124","3.3","7","18.9"
"756","1089","204","0","136","0","124","3.3","28","34.5"
"756","1089","204","0","136","0","124","3.3","56","38.8"
"756","1089","204","0","136","0","124","3.3","91","47.8"
"756","1089","204","0","136","0","124","3.3","365","65.3"
"737","977","0","0","340","0","203","0.4","3","20.4"
"737","977","0","0","340","0","203","0.4","7","27.2"
"737","977","0","0","340","0","203","0.4","28","34.5"
"737","977","0","0","340","0","203","0.4","56","37.2"
"737","977","0","0","340","0","203","0.4","91","40.3"
"737","977","0","0","340","0","203","0.4","365","44.6"
"743","985","68","0","272","0","188","1.5","3","16.8"
"743","985","68","0","272","0","188","1.5","7","22.4"
"743","985","68","0","272","0","188","1.5","28","34.9"
"743","985","68","0","272","0","188","1.5","56","36.1"
"743","985","68","0","272","0","188","1.5","91","39.6"
"743","985","68","0","272","0","188","1.5","365","46.2"
"752","1017","136","0","204","0","163","2.7","3","11.3"
"752","1017","136","0","204","0","163","2.7","7","21.5"
"752","1017","136","0","204","0","163","2.7","28","34.1"
"752","1017","136","0","204","0","163","2.7","56","37.4"
"752","1017","136","0","204","0","163","2.7","91","40.8"
"752","1017","136","0","204","0","163","2.7","365","54.3"
"756","1089","204","0","136","0","124","5","3","12.1"
"756","1089","204","0","136","0","124","5","7","17.8"
"756","1089","204","0","136","0","124","5","28","30.5"
"756","1089","204","0","136","0","124","5","56","33.9"
"756","1089","204","0","136","0","124","5","91","39"
"756","1089","204","0","136","0","124","5","365","55.8"
"641.3","960.8","0","65","430","0","195.5","5.8","28","40.23"
"670.3","1024.9","0","67.2","367.1","0","180.5","4.4","28","45.84"
"675.4","1018.5","0","63.7","385.8","0","173.6","6.9","28","49.51"
"684.9","1024.1","0","64","384.7","0","174","8.4","28","59.95"
"682.1","1020.4","0","64.3","380","0","178","3.8","28","45.03"
"682.6","1020.7","0","64.3","379.8","0","177.9","4.1","28","60.58"
"685.5","1020.8","0","64.6","376.2","0","177.8","4","28","59.01"
"658.1","1038.2","0","67.3","391.9","0","170.9","5.8","28","52.68"
